"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
186,"AINC","Ashford Inc.","Financial","Asset Management","USA",175.39,,86.40,1.72%,2665
187,"AINV","Apollo Investment Corporation","Financial","Asset Management","USA",1278.74,14.82,5.90,-0.34%,498154
188,"AIPT","Precision Therapeutics Inc.","Healthcare","Medical Instruments & Supplies","USA",12.67,,1.17,-2.50%,79019
189,"AIQ","Global X Future Analytics Tech ETF","Financial","Exchange Traded Fund","USA",,,15.14,0.73%,6865
190,"AIR","AAR Corp.","Industrial Goods","Aerospace/Defense Products & Services","USA",1604.18,27.18,46.81,-0.21%,96303
191,"AIRG","Airgain, Inc.","Technology","Communication Equipment","USA",95.79,,9.40,-3.69%,37178
192,"AIRI","Air Industries Group","Industrial Goods","Aerospace/Defense Products & Services","USA",36.71,,1.45,0.00%,25900
193,"AIRR","First Trust RBA Amer Indl RenaisTM ETF","Financial","Exchange Traded Fund","USA",,,27.70,0.76%,6427
194,"AIRT","Air T, Inc.","Services","Air Delivery & Freight Services","USA",70.73,27.82,33.05,0.00%,1136
195,"AIT","Applied Industrial Technologies, Inc.","Services","Industrial Equipment Wholesale","USA",2790.27,18.99,72.10,-0.14%,277263
196,"AIV","Apartment Investment and Management Company","Financial","REIT - Residential","USA",6760.26,629.41,42.80,0.07%,1419691
197,"AIZ","Assurant, Inc.","Financial","Accident & Health Insurance","USA",6806.58,19.67,109.01,-0.27%,618241
198,"AJG","Arthur J. Gallagher & Co.","Financial","Insurance Brokers","USA",13018.32,18.34,71.15,-0.27%,891601
199,"AJRD","Aerojet Rocketdyne Holdings, Inc.","Industrial Goods","Aerospace/Defense - Major Diversified","USA",2646.45,40.01,34.45,-0.03%,936207
200,"AJX","Great Ajax Corp.","Financial","REIT - Diversified","USA",252.21,12.17,13.48,0.90%,82856
201,"AKAM","Akamai Technologies, Inc.","Technology","Internet Information Providers","USA",12752.39,58.86,74.28,3.70%,3033804
202,"AKAO","Achaogen, Inc.","Healthcare","Biotechnology","USA",328.25,,6.95,0.58%,480788
203,"AKBA","Akebia Therapeutics, Inc.","Healthcare","Biotechnology","USA",617.28,,10.23,-2.48%,238314
204,"AKCA","Akcea Therapeutics, Inc.","Healthcare","Biotechnology","USA",3250.63,,35.18,10.42%,404815
205,"AKER","Akers Biosciences, Inc.","Healthcare","Medical Instruments & Supplies","USA",27.31,,0.28,-3.39%,1556146
206,"AKG","Asanko Gold Inc.","Basic Materials","Gold","Canada",241.03,505.00,1.01,-1.94%,273805
207,"AKO-A","Embotelladora Andina S.A.","Consumer Goods","Beverages - Soft Drinks","Chile",19978.33,17.77,21.11,-3.58%,181
208,"AKO-B","Embotelladora Andina S.A.","Consumer Goods","Beverages - Soft Drinks","Chile",3790.85,21.34,25.10,2.87%,71070
209,"AKP","Alliance California Municipal Income Fund, Inc.","Financial","Closed-End Fund - Debt","USA",,,13.30,0.15%,33955
210,"AKR","Acadia Realty Trust","Financial","Property Management","USA",2289.94,44.94,27.19,0.11%,255518
211,"AKRX","Akorn, Inc.","Healthcare","Drugs - Generic","USA",2192.08,,18.24,1.67%,2203032
212,"AKS","AK Steel Holding Corporation","Basic Materials","Steel & Iron","USA",1388.80,,4.43,-3.06%,21820955
213,"AKTS","Akoustis Technologies, Inc.","Technology","Communication Equipment","USA",189.19,,7.87,2.34%,75474
214,"AKTX","Akari Therapeutics, Plc","Healthcare","Biotechnology","USA",32.00,,2.00,5.85%,6615
215,"AL","Air Lease Corporation","Services","Rental & Leasing Services","USA",4480.02,11.24,43.58,0.00%,478066
216,"ALB","Albemarle Corporation","Basic Materials","Specialty Chemicals","USA",10184.87,18.70,92.02,1.11%,1494866
217,"ALBO","Albireo Pharma, Inc.","Healthcare","Biotechnology","USA",399.26,,32.25,0.62%,48590
218,"ALCO","Alico, Inc.","Consumer Goods","Farm Products","USA",260.70,,31.60,0.64%,917
219,"ALD","WisdomTree Asia Local Debt ETF","Financial","Exchange Traded Fund","USA",,,43.40,-0.37%,237
220,"ALDR","Alder Biopharmaceuticals, Inc.","Healthcare","Biotechnology","USA",1309.82,,19.20,-1.54%,500318
221,"ALDX","Aldeyra Therapeutics, Inc.","Healthcare","Biotechnology","USA",145.80,,7.20,0.70%,50015
222,"ALE","ALLETE, Inc.","Utilities","Diversified Utilities","USA",3888.16,25.22,76.00,-0.51%,216762
223,"ALEX","Alexander & Baldwin, Inc.","Financial","Real Estate Development","USA",1769.91,5.57,23.85,0.21%,255139
224,"ALFA","AlphaClone Alternative Alpha ETF","Financial","Exchange Traded Fund","USA",,,49.09,2.29%,4056
225,"ALG","Alamo Group Inc.","Industrial Goods","Farm & Construction Machinery","USA",1073.57,19.26,93.68,1.17%,293860
